,Filename,NumAtoms,crest-hour,crest-min,crest-second,Hours,Minutes,Seconds,Time
23982,GCSKQADQJXPZOC-JOCHJYFZSA-N,49,0,36,58,0,0,27.171,27.171
23983,GWRSKJBGTCRACZ-UHFFFAOYSA-N,26,0,15,21,0,0,5.28,5.28
23984,GLARPHAWBNNPNA-GUDVDZBRSA-N,55,3,24,21,0,0,33.625,33.625
23985,GTOPYSXLEAYLRB-UHFFFAOYSA-N,48,1,27,9,0,0,29.169,29.169
23986,GZSGTFDLLISMMA-UHFFFAOYSA-N,19,0,11,55,0,0,2.5869999999999997,2.5869999999999997
23987,GICDVHBCPJZRPR-UHFFFAOYSA-N,41,0,36,54,0,0,12.465,12.465
23988,GWHPLVIIGOTUJS-UHFFFAOYSA-N,25,0,20,59,0,0,4.334,4.334
23989,GADAANPSEDQUEL-MZXUOBOFSA-N,77,12,25,23,0,1,17.165,77.165
23990,GONAVIHGXFBTOZ-UHFFFAOYSA-N,15,0,5,0,0,0,1.2309999999999999,1.2309999999999999
23991,GKITYBHTVPXXMR-UXBLZVDNSA-N,24,0,17,58,0,0,3.468,3.468
23992,GZIIGBYDEBRDAY-UHFFFAOYSA-N,57,1,3,51,0,0,40.525,40.525
23993,GUVVMYDXXIOYDM-TZMCWYRMSA-N,36,0,25,47,0,0,9.286,9.286
23994,GAZIWGZXXKOPSL-SOUVJXGZSA-N,33,0,25,41,0,0,8.172,8.172
23995,GXDBLSCAEPSFIP-UHFFFAOYSA-N,43,1,1,2,0,0,19.028,19.028
23996,GQUFHRKTPJLIKU-UHFFFAOYSA-N,31,0,30,14,0,0,9.611,9.611
23997,GBFDIOVCPIXIDF-SECBINFHSA-N,37,1,38,45,0,0,11.540999999999999,11.540999999999999
23998,GGMWICYJNXIWQT-UHFFFAOYSA-N,30,0,56,53,0,0,9.699,9.699
23999,GQBHYWDCHSZDQU-UHFFFAOYSA-N,72,11,0,10,0,0,25.846999999999998,25.846999999999998
24000,GGZWFJPCBQVBRH-UHFFFAOYSA-N,48,8,12,7,0,0,13.663,13.663
24001,GJXRNAPBJDKIPH-UHFFFAOYSA-N,42,1,4,32,0,0,17.143,17.143
24002,GXONONZYAXRJFL-UHFFFAOYSA-N,26,0,13,47,0,0,4.812,4.812
24003,GHZOYKCOIVMLBB-VUAYVDPTSA-N,63,3,2,14,0,1,1.5119999999999998,61.512
24004,GIBIXWIUEBBVDV-SKBVVQJISA-N,60,5,38,34,0,0,36.243,36.243
24005,GSYDQXPFWGJBQG-ZETCQYMHSA-N,19,0,11,13,0,0,2.872,2.872
24006,GMUWZFKAIATUAK-HNEXDWKRSA-N,26,0,12,45,0,0,4.132,4.132
24007,GGHODCIXVZGKEE-UHFFFAOYSA-N,27,0,22,2,0,0,8.798,8.798
24008,GOEXXYHZBMCWFP-HRAATJIYSA-N,47,1,1,24,0,0,25.195999999999998,25.195999999999998
24009,GQYVOZHNGHTIRK-UHFFFAOYSA-N,57,9,45,49,0,0,43.242,43.242
24010,GWISOFZOPBFYKO-KDURUIRLSA-N,43,2,17,28,0,0,16.725,16.725
24011,GYYBVMOANLFNAG-FTJBHMTQSA-N,58,2,43,10,0,0,39.092,39.092
24012,GICVFXBQEBXJEX-UHFFFAOYSA-N,38,2,8,52,0,0,14.908,14.908
24013,GHZZMRCTPVFBOV-MZBJOSPHSA-N,55,2,16,38,0,0,36.851,36.851
24014,GUCUXSWJVFNKDY-UHFFFAOYSA-N,25,0,23,59,0,0,3.698,3.698
24015,GRJUPGPBVZEFEP-KRWDZBQOSA-N,49,3,10,0,0,0,27.373,27.373
24016,GLHNINLTTXPWDQ-JIZVJVNCSA-N,47,1,49,48,0,0,22.750999999999998,22.750999999999998
24017,GXUDKRKEUAPTEA-UHFFFAOYSA-N,30,0,34,46,0,0,6.774,6.774
24018,GXUBVSHTIFCWDF-AAEUAGOBSA-N,44,3,19,23,0,0,18.932000000000002,18.932000000000002
24019,GVFNPVPCQHTQFQ-KXLSMFKISA-N,38,1,30,55,0,0,9.71,9.71
