# Alexandria ID,Compound,Formula,Charge,Multiplicity,CAS no.,ChemSpider ID,PubChem ID,StdInChI,InChIkey,DeltaHExp.,DeltaHError,DeltaHRef,DeltaHG4,S0Exp,S0Error,S0Ref,S0G4,Rotatable Bonds,Filename
660,magnesium difluoride,MgF2,0,1,7783-40-6,22952,,"InChI=1S/2FH.Mg/h2*1H;/q;;+2/p-2",,-726.76,0,38,-734.62,256.51,0,38,230.76,0,magnesium-fluoride
667,oxomagnesium,MgO,0,3,1309-48-4,14108,14792,InChI=1S/Mg.O,CPLXHLVBOLITMK-UHFFFAOYSA-N,58.16,0,22,162.56,213.16,0,22,223.94,0,magnesium-oxide
668,selenoxomagnesium,MgSe,0,1,1313-04-8,303381,,InChI=1S/Mg.Se,,,,,198.46,,,,237.46,0,magnesium-selenide
669,sulfanylidenemagnesium,MgS,0,1,12032-36-9,74738,82824,InChI=1S/Mg.S,SMDQFHZIWNYSMR-UHFFFAOYSA-N,145.23,0,38,201.11,225.48,0,38,225.07,0,magnesium-sulfide
670,4-methylpent-3-en-2-one,C6H10O,0,1,141-79-7,8526,8858,"InChI=1S/C6H10O/c1-5(2)4-6(3)7/h4H,1-3H3",SHOJXDKTYKFBRD-UHFFFAOYSA-N,-195.6,0,22,-177.58,398.1,0,22,380.59,1,mesityl-oxide
671,2-methylprop-2-enoic acid,C4H6O2,0,1,79-41-4,3951,4093,"InChI=1S/C4H6O2/c1-3(2)4(5)6/h1H2,2H3,(H,5,6)",CERQOIWHTDAKMF-UHFFFAOYSA-N,-368,0,22,-359.74,350,0,22,331.02,1,methacrylic-acid
672,methane,CH4,0,1,74-82-8,291,297,InChI=1S/CH4/h1H4,VNWKTOKETHGBQD-UHFFFAOYSA-N,-74.52,0,22,-74.8,186.27,0,22,186.09,0,methane
673,methanethiol,CH4S,0,1,74-93-1,855,878,"InChI=1S/CH4S/c1-2/h2H,1H3",LSDPWZHWYPCBBB-UHFFFAOYSA-N,-22.9,0,22,-22.66,255,0,22,253.51,0,methanethiol
674,methanol,CH4O,0,1,67-56-1,864,887,"InChI=1S/CH4O/c1-2/h2H,1H3",OKKJLVBELUTLKV-UHFFFAOYSA-N,-200.94,0,22,-201.24,239.88,0,22,237.77,0,methanol
675,methanediol,CH4O2,0,1,463-57-0,71348,79015,"InChI=1S/CH4O2/c2-1-3/h2-3H,1H2",CKFGINPQOCXMAZ-UHFFFAOYSA-N,,,,-382.27,,,,265.8,0,methanediol
