Receptor,PathFeatures
2.0,"['866444011013', '666444112132', '666444122323', '666444223231', '668444230310']"
1.0,"['868443010010', '686433100100', '868333000000']"
0.0,"['766334001001', '666343011012', '666433112121', '668333120210']"
3.0,"['866444011011', '667444111112', '676444112121', '766444122211', '668444220110']"
0.0,"['867443001001', '676434011011', '766344111112', '666443112121', '668433120210']"
4.0,"['866334001001', '667344011011']"
1.0,"['866444011023', '666443110230', '668433100300']"
5.0,"['866444011011', '666444111111', '667444110110']"
1.0,"['866333011011', '667333110110', '676333100100', '768333000000']"
1.0,"['766334000000', '667343001001', '676433011011', '766334111112', '667343112121', '676433120210', '768333200100']"
1.0,"['766334110110', '666344100100', '666443000000', '668433000000']"
2.0,"['866444001001', '668444011011', '686444111111', '868444110110']"
2.0,"['866444011011', '666444111111', '666444110110', '668444100100']"
0.0,"['866444011012', '667443112122', '676433122221', '768333220210']"
2.0,"['766333110110', '6614334100100', '6148344000000']"
1.0,"['866334000000', '667344000000', '6716444000000', '7166443001001', '1666433011011', '666333111111', '666333111111', '666334112111', '666344122111', '666443220110', '668433200100']"
1.0,"['866334001001', '666344011011', '666443112111', '666433122111', '666333222111', '666333222111', '6616334220110', '6167344200100', '1676444000000', '766443000000', '668433000000']"
3.0,"['766333011011', '666334112111', '668344122111']"
2.0,"['866333011011', '666333110110', '666334100100', '666344000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666443002001', '666433022011', '666333222111', '668333220110']"
0.0,"['866444000000', '666444000000', '667443001001', '676433011011', '768333110110']"
5.0,"['866334011011', '666343110110', '667433100100']"
5.0,"['866333000000', '666333000000', '667333000000']"
2.0,"['766344110110', '666444100100', '668444000000']"
1.0,"['866444011011', '666443110110', '668433100100']"
4.0,"['866444011014', '666444112143', '667444122431']"
3.0,"['866444011023', '666444111232', '668443110320']"
1.0,"['766334001001', '667343010010', '676433100100', '768333000000']"
1.0,"['766334001001', '667343011011', '676433110110', '768333100100']"
1.0,"['866333001001', '666333011011', '666333111111', '668333110110', '686334100100', '866344000000', '668443000000', '686433002001', '866333022011', '666333222111', '666333220110', '668333200100']"
2.0,"['866443011011', '666434110110', '668344100100']"
1.0,"['876434000000', '766343000000', '668433000000']"
2.0,"['866444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '668444000000']"
3.0,"['766344001001', '6615444010010', '6158444100100']"
6.0,"['866444011011', '667444111111', '6716444110110', '7168443100100']"
6.0,"['766343111121', '667433111211', '6716334111111', '7168343110110']"
3.0,"['866444011011', '666444111111', '666444112111', '668444122111']"
3.0,"['866443011011', '666434111112', '666343110120', '668433100200']"
1.0,"['866444011011', '667443110110', '676433100100', '766333002001', '666333022011', '666333220110', '668333200100']"
4.0,"['775343110110', '757433102101', '577333022011']"
4.0,"['866334000000', '667344001001', '676444011011', '766444111111', '667444111111']"
1.0,"['766444000000', '667444001001', '676444011011', '766444111111', '667444111111', '676444110110', '766443100100', '668433000000']"
3.0,"['866333011011', '667333110110', '676333100100', '766333002001', '666333022011', '668333220110']"
5.0,"['866333011011', '667333110110']"
1.0,"['766333001001', '667333011011', '676333111111', '767333110110', '676333100100', '768333000000']"
1.0,"['866444000000', '668444000000', '686444000000', '867443001001', '676433011011', '766333110110', '668333100100']"
3.0,"['766334112121', '666344120210', '666444203101', '668444033011']"
2.0,"['866333011011', '666334112111', '668344120110']"
4.0,"['866444001002', '666444011023', '667444111232']"
2.0,"['768344011011', '686444111111', '866444110110', '668444100100']"
1.0,"['866444011011', '667443110110', '676433100100', '768333000000']"
2.0,"['866444000000', '667444000000', '676444000000', '766444000000', '667443000000', '676433000000', '766333001001', '666333011011', '668333110110']"
5.0,"['766333011011', '666334110110', '667344100100']"
1.0,"['766444110110', '666444100100', '667443000000', '676433000000', '768333000000']"
1.0,"['766344000000', '666444001001', '666444011011', '667443110110', '676433100100', '768333000000']"
3.0,"['866444001001', '667444011012', '678444112121']"
3.0,"['766344000000', '666444000000', '668444000000']"
0.0,"['866333001001', '666333011011', '666333110110', '667333100100', '676333002001', '766333022011', '666333222111', '666333222111', '666334220110', '667343203101', '677433033011', '776333333111', '768333330110']"
2.0,"['766344011011', '666444111111', '668444110110']"
1.0,"['766334000000', '668343000000', '686433000000', '868333000000']"
0.0,"['866444011012', '666443112121', '668433120210']"
1.0,"['866333011012', '666333112121', '668333122211', '686334222111', '866344220110', '666444200100', '668443000000', '686433000000', '868333000000']"
3.0,"['866444001001', '666444011013', '668444112131']"
5.0,"['1666544000000', '667444000000']"
0.0,"['766333112111', '666333122112', '666333223121', '668333230210']"
1.0,"['866444001001', '668444011011', '686444111111', '867443112111', '676433122111', '766333222111', '666334220110', '666344200100', '666443000000', '668433000000']"
4.0,"['866444011011', '666444111111', '667443112111', '676433122112', '767333223121']"
